nodeName	altName	symbol	color	geneModuleMembership	glycoType	logFC	padj
ENSG00000074695	LMAN1	LMAN1	brown	0.895753925003336	N-glycosylation	0.0059157554699843	0.92032154564721
ENSG00000182870	GALNT9	GALNT9	brown	0.892123255646261	O-glycosylation	-0.0984114858827439	0.0787826422479216
ENSG00000160460	SPTBN4	SPTBN4	brown	0.889469725637942	N-glycosylation	-0.0212678783550801	0.744996112941083
ENSG00000112893	MAN2A1	MAN2A1	brown	0.823167376160681	N-glycosylation	0.143388635612573	0.00841589767117035
ENSG00000175548	ALG10B	ALG10B	brown	0.816497732028857	N-glycosylation	-0.00442473784025306	0.948853610827426
ENSG00000170348	TMED10	TMED10	brown	0.810156662852803	N-glycosylation	0.052547955800984	0.158903807372041
ENSG00000141429	GALNT1	GALNT1	brown	0.80682133052504	O-glycosylation	0.0547640148725842	0.135730697314347
ENSG00000167110	GOLGA2	GOLGA2	brown	0.800075071782654	N-glycosylation	0.00397875993702679	0.918079496190376
ENSG00000029534	ANK1	ANK1	brown	0.791876605907345	N-glycosylation	-0.059783879044269	0.397993955081277
ENSG00000174871	CNIH2	CNIH2	brown	0.787384532238491	N-glycosylation	0.0265508018225195	0.707125869031268
ENSG00000085063	CD59	CD59	brown	0.779297003541303	N-glycosylation	0.150386144904442	0.00208897890693175
ENSG00000120697	ALG5	ALG5	brown	0.776094463378681	N-glycosylation	0.0432374926772916	0.307889404295407
ENSG00000184005	ST6GALNAC3	ST6GALNAC3	brown	0.765902230364107	O-glycosylation	0.194252572673961	0.0013502937334002
ENSG00000072849	DERL2	DERL2	brown	0.758255595417327	N-glycosylation	0.00984899846886774	0.809268098633591
ENSG00000105829	BET1	BET1	brown	0.75595086411491	N-glycosylation	-0.00345109547768189	0.950712759876099
ENSG00000167632	TRAPPC9	TRAPPC9	brown	0.751268736261598	N-glycosylation	-0.141975093960655	0.00161137242288043
ENSG00000088035	ALG6	ALG6	brown	0.750183193965087	N-glycosylation	-0.0524049785492472	0.284646509634391
ENSG00000254685	FPGT	FPGT	brown	0.748571685917456	N-glycosylation	-0.00557618787411007	0.938743446159166
ENSG00000242247	ARFGAP3	ARFGAP3	brown	0.742478273802778	N-glycosylation	0.0638968249010651	0.0537821874436664
ENSG00000110075	PPP6R3	PPP6R3	brown	0.735518295078113	N-glycosylation	0.0455739388199868	0.0466601221769301
ENSG00000185900	POMK	POMK	brown	0.730018119630658	O-glycosylation	-0.124623276910399	0.090072687027299
ENSG00000197859	ADAMTSL2	ADAMTSL2	brown	0.72538717200085	O-glycosylation	-0.0490691809297003	0.38757173310891
ENSG00000134917	ADAMTS8	ADAMTS8	brown	0.720800099718212	O-glycosylation	-0.169483074372975	0.0025795259508025
ENSG00000152700	SAR1B	SAR1B	brown	0.709949304595007	N-glycosylation	0.0230545748581042	0.495198134971068
ENSG00000033170	FUT8	FUT8	brown	0.705944575017633	N-glycosylation	0.00432732699687783	0.926081145010601
ENSG00000163235	TGFA	TGFA	brown	0.702819020871475	N-glycosylation	0.165216699895777	0.00988289478121095
ENSG00000135775	COG2	COG2	brown	0.697574023807691	N-glycosylation	0.0550156147316375	0.0244802775245788
ENSG00000121578	B4GALT4	B4GALT4	brown	0.697405687745564	N-glycosylation	0.111596911629194	0.000796666675667724
ENSG00000145536	ADAMTS16	ADAMTS16	brown	0.692187717739539	O-glycosylation	-0.0419519872303281	0.49979063036773
ENSG00000159674	SPON2	SPON2	brown	0.684503157684179	O-glycosylation	-0.369928926173584	0.000141406690294335
ENSG00000136240	KDELR2	KDELR2	brown	0.659487374432138	N-glycosylation	0.027612369995158	0.218211152376275
ENSG00000124302	CHST8	CHST8	brown	0.651714721038952	N-glycosylation	-0.011706178059346	0.874865215175531
ENSG00000129562	DAD1	DAD1	brown	0.635317773767161	N-glycosylation	0.0725591475048002	0.0752251476161599
ENSG00000095380	NANS	NANS	brown	0.61255737192086	N-glycosylation	-0.0831775938639174	0.00448164068377665
ENSG00000112902	SEMA5A	SEMA5A	brown	0.590142396464208	O-glycosylation	0.0345335178907721	0.575148340799925
ENSG00000100764	PSMC1	PSMC1	brown	0.530484349560785	N-glycosylation	-0.0569167034994428	0.264007737491367
ENSG00000033011	ALG1	ALG1	brown	0.529701805785941	N-glycosylation	-0.0650878515556435	0.177666703116659
ENSG00000262655	SPON1	SPON1	brown	0.52819644581013	O-glycosylation	0.0395115029082119	0.649283203012551
ENSG00000118705	RPN2	RPN2	brown	0.522210906950311	N-glycosylation	-0.00687059709290119	0.830458194613691
ENSG00000073849	ST6GAL1	ST6GAL1	brown	0.470843594289139	O-glycosylation	0.0804994295462453	0.0871687226211401
