nodeName	altName	symbol	color	geneModuleMembership	glycoType	logFC	padj
ENSG00000101199	ARFGAP1	ARFGAP1	green	0.890768696240497	N-glycosylation	0.00361614205536818	0.941513315400824
ENSG00000177239	MAN1B1	MAN1B1	green	0.843161318402291	N-glycosylation	-0.0147683338386334	0.730858687777622
ENSG00000167515	TRAPPC2L	TRAPPC2L	green	0.833692908965315	N-glycosylation	-0.0573255108086456	0.0956227681793028
ENSG00000138107	ACTR1A	ACTR1A	green	0.832808714957014	N-glycosylation	-0.0212706923942507	0.50445318673534
ENSG00000126091	ST3GAL3	ST3GAL3	green	0.823818910276892	O-glycosylation	-0.10229173166557	0.00275037322718016
ENSG00000183828	NUDT14	NUDT14	green	0.821294295847026	N-glycosylation	-0.0467581229453533	0.440292743158572
ENSG00000104522	GFUS	GFUS	green	0.805732595824863	N-glycosylation	-0.0523501601143323	0.173196335307516
ENSG00000162066	AMDHD2	AMDHD2	green	0.783226452942396	N-glycosylation	-0.0645015649832721	0.264576092093027
ENSG00000115275	MOGS	MOGS	green	0.761647361573937	N-glycosylation	-0.00770904203245727	0.830055827862403
ENSG00000100417	PMM1	PMM1	green	0.726315353560585	N-glycosylation	-0.0788519330745083	0.0225650464411116
ENSG00000149182	ARFGAP2	ARFGAP2	green	0.712817164477638	N-glycosylation	-0.0070527644036649	0.855950796782262
ENSG00000170043	TRAPPC1	TRAPPC1	green	0.701578856782009	N-glycosylation	-0.0701810417365872	0.0700062445793878
ENSG00000141551	CSNK1D	CSNK1D	green	0.673516621742469	N-glycosylation	0.0085573235379365	0.811302272286369
ENSG00000130714	POMT1	POMT1	green	0.67195039001759	O-glycosylation	0.0697916539422578	0.00776325597322157
ENSG00000178802	MPI	MPI	green	0.670383440576093	N-glycosylation	-0.0343503702115132	0.212324011015628
ENSG00000114270	COL7A1	COL7A1	green	0.650623189589324	N-glycosylation	-0.0984143672480718	0.0609715625935309
ENSG00000221983	UBA52	UBA52	green	0.647522732557347	N-glycosylation	-0.0344492566732979	0.216346905828766
ENSG00000077549	CAPZB	CAPZB	green	0.64641394179923	N-glycosylation	-0.048944231762311	0.0264352506893715
ENSG00000167130	DOLPP1	DOLPP1	green	0.607565423528459	N-glycosylation	-0.0255374888633072	0.308270835384129
ENSG00000117682	DHDDS	DHDDS	green	0.605294885159041	N-glycosylation	-0.0734310803794222	0.00355668625363941
ENSG00000204308	RNF5	RNF5	green	0.48853488239676	N-glycosylation	0.0517345252287336	0.0268950284448493
ENSG00000085998	POMGNT1	POMGNT1	green	0.420246928319713	O-glycosylation	0.00207859111783298	0.943724408223348
